t,swll,k,simulation
2,0.0,24,Step-change
3,-24.53871319416467,24,Step-change
4,-16.945955093069472,24,Step-change
5,-10.481233086589725,24,Step-change
6,-7.843145422593267,24,Step-change
7,-6.804136415456753,24,Step-change
8,-3.464270218348531,24,Step-change
9,-5.445820269314737,24,Step-change
10,-3.1326616103146137,24,Step-change
11,-4.75497752207869,24,Step-change
12,-3.481906107851785,24,Step-change
13,-4.761811446885076,24,Step-change
14,-6.583716268272383,24,Step-change
15,-3.5934508685707556,24,Step-change
16,-3.9351179662491518,24,Step-change
17,-3.8553910925885475,24,Step-change
18,-3.795372165265263,24,Step-change
19,-3.3205139981858167,24,Step-change
20,-4.747537217261268,24,Step-change
21,-4.367178116596591,24,Step-change
22,-2.87204880498858,24,Step-change
23,-3.497284641136062,24,Step-change
24,-3.307807157843186,24,Step-change
25,-3.0243338739893346,24,Step-change
26,-2.9447483243731796,24,Step-change
27,-3.698289395132619,24,Step-change
28,-4.28652042229335,24,Step-change
29,-18.433837095969125,24,Step-change
30,-9.627027884280665,24,Step-change
31,-7.6269722377464575,24,Step-change
32,-10.814721034935616,24,Step-change
33,-9.374843019383206,24,Step-change
